id,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts20429,SHOW,2012,TV-MA,23,"['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']",4,7.6,43727,73.783,8.3
ts6506,SHOW,2011,TV-MA,51,"['drama', 'history', 'romance', 'crime']",3,7.9,50556,23.185,7.6
ts20458,SHOW,2012,TV-Y7,17,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']",15,7.2,4519,60.536,7.8
ts34087,SHOW,2011,TV-14,24,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",1,8.3,9055,17.086,8.2
ts27468,SHOW,2012,TV-Y7,22,"['action', 'scifi', 'comedy', 'family', 'animation']",4,6.4,915,18.838,8.3
ts20556,SHOW,2011,TV-14,41,"['reality', 'romance', 'documentation', 'comedy']",11,4.5,28,24.248,6.6
ts9794,SHOW,2012,TV-14,20,"['comedy', 'family', 'animation']",11,8,12363,26.158,7.1
ts20500,SHOW,2012,TV-MA,45,"['crime', 'comedy', 'drama']",3,7.9,29196,15.935,7.4
ts34151,SHOW,2011,TV-14,26,"['scifi', 'action', 'animation', 'comedy', 'crime']",2,7.3,998,14.385,7.2
ts11151,SHOW,2011,TV-MA,25,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'thriller']",2,8.2,12568,40.567,8.1
ts9246,SHOW,2011,TV-14,24,"['scifi', 'horror', 'family', 'animation', 'action', 'drama', 'fantasy']",2,7.5,12741,44.755,8.1
ts19779,SHOW,2012,TV-Y,6,"['animation', 'comedy', 'family']",7,7.3,1806,18.766,7.4
ts7708,SHOW,2011,TV-PG,23,"['drama', 'fantasy', 'romance', 'animation']",1,8.2,12682,27.728,8.6
ts27586,SHOW,2012,TV-14,24,"['scifi', 'action', 'comedy', 'animation', 'fantasy']",3,7.8,3899,20.767,8.6
ts18551,SHOW,2012,TV-14,27,"['comedy', 'drama', 'european']",5,5.9,20,19.717,6.8
ts34740,SHOW,2011,TV-PG,22,"['scifi', 'fantasy', 'horror', 'action', 'comedy']",2,6.9,4367,19.118,8.3
ts22249,SHOW,2012,TV-14,24,"['animation', 'comedy', 'sport']",3,8.3,8052,51.824,8.7
ts36647,SHOW,2012,TV-MA,40,"['comedy', 'drama', 'european']",5,8.1,8718,13.801,7.7
ts34921,SHOW,2011,TV-14,24,"['action', 'scifi', 'animation']",1,6.2,1458,11.084,6.5
ts35426,SHOW,2011,TV-G,4,"['animation', 'european']",3,5,37,3.268,5.8
ts27835,SHOW,2012,TV-14,22,['documentation'],10,7.5,1462,7.08,9
ts45996,SHOW,2012,TV-14,44,"['reality', 'documentation']",9,7.4,264,14.65,8.1
ts55532,SHOW,2012,TV-Y,16,"['animation', 'european']",5,7.6,16,4.054,5
ts34737,SHOW,2011,TV-MA,42,"['drama', 'action', 'crime', 'thriller']",2,8,2445,99.071,7.7
ts21081,SHOW,2012,TV-14,44,"['crime', 'drama', 'history', 'thriller']",1,8.4,4923,314.603,7.6
ts81858,SHOW,2011,TV-G,2,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",5,7.1,582,16.828,7.4
ts39093,SHOW,2012,TV-MA,22,"['drama', 'comedy']",4,6.8,2723,12.763,7
ts26776,SHOW,2012,TV-Y7,22,"['comedy', 'action', 'scifi', 'family', 'fantasy', 'animation']",2,6.1,388,10.899,7.6
ts33349,SHOW,2011,TV-Y,14,"['family', 'fantasy', 'animation', 'comedy']",4,5.8,125,15.113,7.7
ts191698,SHOW,2011,TV-Y,5,"['animation', 'family', 'music']",4,6.4,94,2.728,10
ts19165,SHOW,2012,TV-G,43,['family'],3,6.4,125,0.922,7
ts58528,SHOW,2011,TV-PG,47,['reality'],8,7.4,42,2.189,9.1
ts27875,SHOW,2012,TV-Y,5,"['animation', 'family']",2,6.4,89,6.158,5
ts6879,SHOW,2012,TV-MA,45,['drama'],2,8.5,755,7.665,7.9
ts39112,SHOW,2011,TV-Y,15,"['action', 'animation', 'family', 'comedy']",3,6,16,3.382,8
ts32460,SHOW,2011,TV-14,43,"['drama', 'comedy']",1,7.1,108,9.281,1
ts32561,SHOW,2011,TV-14,46,"['drama', 'comedy', 'romance']",1,6.9,140,4.876,7.3
ts69208,SHOW,2012,TV-Y,45,"['drama', 'comedy']",1,7.6,116,1.96,6.5
ts44064,SHOW,2011,TV-14,46,"['comedy', 'drama', 'romance']",1,6.5,114,3.342,8
ts39465,SHOW,2012,TV-14,44,"['drama', 'comedy', 'romance']",1,6.8,14,1.4,6
ts37864,SHOW,2011,TV-PG,47,"['drama', 'romance', 'history']",1,7,142,1.355,7
ts20837,SHOW,2014,TV-MA,60,"['scifi', 'drama', 'fantasy', 'romance']",6,8.4,152435,238.679,8.2
ts20110,SHOW,2013,TV-MA,58,"['drama', 'crime', 'european']",6,8.8,485506,971.727,8.6
ts20682,SHOW,2013,TV-MA,24,"['scifi', 'action', 'drama', 'fantasy', 'horror', 'animation']",4,9,325381,139.388,8.6
ts1639,SHOW,2013,TV-14,43,"['drama', 'crime', 'thriller']",9,8,238138,279.921,7.5
ts20351,SHOW,2014,TV-PG,64,"['reality', 'european']",14,6.1,1975,31.913,5.6
ts11188,SHOW,2014,TV-14,42,"['scifi', 'drama', 'action']",8,7.6,336888,751.315,7.8
ts20292,SHOW,2014,TV-14,43,"['scifi', 'action', 'crime', 'drama', 'thriller']",5,7.8,226081,170.642,7.6
ts16045,SHOW,2014,TV-14,41,['reality'],8,6.5,2450,15.818,5.9
